SlotId,X,Y,W,H
611,1240,1596,380,347
612,292,1552,380,380
206,1964,1002,340,340
207,1485,1011,330,330
208,1088,1016,360,360
209,720,1010,360,360
210,362,1054,320,320
211,32,1048,300,300
238,2331,477,166,166
239,2139,473,166,166
240,1913,467,186,186
241,1709,457,186,186
242,1466,440,216,216
243,1212,440,216,216
244,988,450,216,216
245,774,442,216,216
246,550,442,216,216
247,298,454,196,196
248,80,456,196,196
274,2287,285,130,130
275,2103,267,150,150
276,1929,281,150,150
277,1743,261,170,170
278,1569,259,170,170
279,1371,259,170,170
280,1193,251,170,170
281,1003,259,170,170
282,825,265,170,170
283,643,263,170,170
284,453,251,170,170
285,246,246,160,160
286,32,254,160,160
309,1973,87,130,130
310,1843,87,130,130
311,1707,85,130,130
312,1564,80,140,140
313,1412,78,140,140
314,1284,78,140,140
315,1142,78,140,140
316,1000,74,140,140
317,846,66,140,140
318,716,58,140,140
319,570,70,140,140
320,416,80,140,140
321,277,67,130,130
322,135,63,130,130
